role,features
Accountant,"Excel, Bookkeeping, Taxation, Tally, Financial Analysis"
Journalist,"Writing, Editing, Interviewing, Research, Reporting"
Police Officer,"Traffic Control, Law Enforcement, Investigation, Firearms Training, Physical Fitness"
UI/UX Designer,"Prototyping, Figma, Design Systems, User Research, Adobe XD, Wireframing"
Nurse,"Emergency Response, IV Insertion, First Aid, Medical Records"
Lawyer,"Criminal Law, Civil Law, Court Procedures, Advocacy"
Journalist,"Research, Interviewing, Reporting, Writing, Editing"
Army Personnel,"Combat Training, Strategy, Discipline"
Sales Executive,"Negotiation, Target Achievement, Product Knowledge"
Plumber,"Sanitation, Water Systems, Repair"
Mobile App Developer,"Swift, Java, Android Studio, Kotlin"
Nurse,"First Aid, IV Insertion, Patient Monitoring"
Teacher,"Classroom Management, Communication, Lesson Planning, Subject Knowledge, Student Assessment"
Software Engineer,"Java, Git, Agile, C++, OOP, Python"
Journalist,"Research, Editing, Reporting, Interviewing, Writing"
Mechanical Engineer,"Maintenance, Thermodynamics, CAD, SolidWorks, Material Science"
Sales Executive,"Negotiation, Product Knowledge, Target Achievement, Lead Generation"
HR Manager,"Training, Payroll, Recruitment, Employee Relations, Compliance"
UI/UX Designer,"User Research, Adobe XD, Design Systems, Figma, Wireframing"
Architect,"3D Modeling, Building Codes, Design, Blueprints, AutoCAD"
HR Manager,"Employee Relations, Payroll, Compliance, Recruitment, Training"
Product Manager,"Roadmaps, Agile, Analytics, Customer Research"
Police Officer,"Physical Fitness, Traffic Control, Firearms Training, Investigation"
Plumber,"Blueprint Reading, Repair, Water Systems"
Army Personnel,"Survival Skills, First Aid, Discipline, Strategy"
HR Manager,"Employee Relations, Compliance, Training, Payroll, Recruitment"
Journalist,"Editing, Research, Reporting, Interviewing, Writing"
HR Manager,"Employee Relations, Compliance, Payroll, Training, Recruitment"
Police Officer,"Firearms Training, Physical Fitness, Investigation, Traffic Control, Law Enforcement"
Machine Learning Engineer,"Scikit-learn, Python, TensorFlow, Keras"
Civil Engineer,"Structural Design, Project Management, Concrete Technology"
Nurse,"Emergency Response, Medical Records, First Aid, IV Insertion, Patient Monitoring"
Mobile App Developer,"Kotlin, Android Studio, Java"
Journalist,"Research, Reporting, Editing, Writing, Interviewing"
HR Manager,"Training, Compliance, Payroll, Employee Relations, Recruitment"
Cloud Engineer,"Linux, Terraform, Azure, Networking, Cloud Architecture"
Plumber,"Pipe Fitting, Blueprint Reading, Water Systems, Repair"
Journalist,"Editing, Reporting, Interviewing"
UI/UX Designer,"Wireframing, Figma, User Research, Design Systems, Adobe XD"
Cloud Engineer,"Terraform, Networking, Linux, Azure, Cloud Architecture"
DevOps Engineer,"Kubernetes, AWS, Monitoring, Terraform, Linux, CI/CD"
Product Manager,"Scrum, Agile, Roadmaps"
DevOps Engineer,"Terraform, CI/CD, Kubernetes, Linux, Monitoring"
Data Scientist,"Scikit-learn, Matplotlib, SQL"
Electrician,"Troubleshooting, Circuit Design, Safety Compliance, Wiring, Installation"
Accountant,"Tally, Bookkeeping, Financial Analysis"
Software Engineer,"Git, C++, OOP, Python"
Electrician,"Installation, Wiring, Safety Compliance"
Cloud Engineer,"Networking, Cloud Architecture, Linux, Terraform"
Accountant,"Financial Analysis, Taxation, Tally, Excel, Bookkeeping"
Machine Learning Engineer,"Scikit-learn, ML algorithms, Keras, TensorFlow, PyTorch"
Teacher,"Classroom Management, Communication, Lesson Planning, Student Assessment, Subject Knowledge"
Teacher,"Communication, Lesson Planning, Classroom Management, Subject Knowledge, Student Assessment"
Machine Learning Engineer,"ML algorithms, Python, TensorFlow, Scikit-learn, NLP"
Civil Engineer,"Concrete Technology, Site Supervision, AutoCAD"
Lawyer,"Drafting, Court Procedures, Legal Research, Civil Law"
Electrician,"Wiring, Circuit Design, Troubleshooting, Safety Compliance, Installation"
Civil Engineer,"Structural Design, Site Supervision, Project Management, AutoCAD, Concrete Technology"
Nurse,"IV Insertion, Medical Records, Patient Monitoring"
AI Researcher,"Python, Deep Learning, Mathematics, Research, TensorFlow, NLP"
Doctor,"Patient Care, Anatomy, Prescribing"
Army Personnel,"Combat Training, Strategy, First Aid"
Professor,"Teaching, Grading, Academic Writing"
Product Manager,"Wireframing, Customer Research, Roadmaps, Agile, Scrum, Analytics"
Lawyer,"Criminal Law, Legal Research, Drafting, Court Procedures, Civil Law"
Mobile App Developer,"Flutter, Swift, Kotlin"
Army Personnel,"Survival Skills, Strategy, Discipline"
Product Manager,"Agile, Roadmaps, Scrum, Customer Research, Analytics"
Web Developer,"HTML, React, Node.js"
Civil Engineer,"AutoCAD, Project Management, Concrete Technology, Site Supervision"
Lawyer,"Court Procedures, Criminal Law, Legal Research, Advocacy, Drafting"
Sales Executive,"CRM, Negotiation, Target Achievement, Lead Generation, Product Knowledge"
Professor,"Academic Writing, Grading, Research, Teaching, Seminars"
Teacher,"Communication, Subject Knowledge, Classroom Management, Student Assessment, Lesson Planning"
Lawyer,"Advocacy, Court Procedures, Legal Research, Criminal Law"
Civil Engineer,"Structural Design, AutoCAD, Site Supervision"
HR Manager,"Training, Recruitment, Compliance"
Electrician,"Safety Compliance, Troubleshooting, Wiring, Installation, Circuit Design"
Police Officer,"Investigation, Firearms Training, Traffic Control, Physical Fitness"
Army Personnel,"First Aid, Combat Training, Survival Skills, Discipline"
Teacher,"Classroom Management, Communication, Lesson Planning, Student Assessment"
Business Analyst,"UML, SQL, Data Modeling"
Doctor,"Anatomy, Surgery, Physiology, Prescribing"
Mechanical Engineer,"SolidWorks, Thermodynamics, CAD, Material Science"
Civil Engineer,"Project Management, Structural Design, AutoCAD, Concrete Technology"
Civil Engineer,"Project Management, Concrete Technology, Structural Design, AutoCAD"
Cloud Engineer,"Azure, Linux, Cloud Architecture, AWS, GCP, Networking"
Cybersecurity Analyst,"Vulnerability Assessment, Python, IDS/IPS, Ethical Hacking, Firewalls"
Army Personnel,"Survival Skills, First Aid, Strategy, Combat Training, Discipline"
Machine Learning Engineer,"TensorFlow, PyTorch, Scikit-learn, NLP"
Web Developer,"CSS, JavaScript, HTML, MongoDB"
Machine Learning Engineer,"Python, Scikit-learn, PyTorch"
Product Manager,"Customer Research, Analytics, Roadmaps"
UI/UX Designer,"Wireframing, Prototyping, User Research, Design Systems, Figma, Adobe XD"
Plumber,"Water Systems, Blueprint Reading, Repair, Pipe Fitting, Sanitation"
Machine Learning Engineer,"ML algorithms, PyTorch, NLP"
Architect,"AutoCAD, Building Codes, Design, 3D Modeling, Blueprints"
Plumber,"Pipe Fitting, Water Systems, Repair"
Police Officer,"Investigation, Traffic Control, Firearms Training"
Journalist,"Editing, Reporting, Research, Writing"
Data Scientist,"NumPy, Pandas, SQL, Jupyter, Scikit-learn, Python"
Machine Learning Engineer,"NLP, PyTorch, Keras, TensorFlow"
Machine Learning Engineer,"NLP, Keras, Python, ML algorithms, TensorFlow, Scikit-learn"
Cloud Engineer,"AWS, Terraform, Azure, Linux, Cloud Architecture, GCP"
Mechanical Engineer,"CAD, Thermodynamics, SolidWorks, Maintenance, Material Science"
UI/UX Designer,"Prototyping, Adobe XD, Design Systems"
Lawyer,"Criminal Law, Drafting, Civil Law"
Army Personnel,"First Aid, Survival Skills, Combat Training, Strategy, Discipline"
Lawyer,"Court Procedures, Civil Law, Legal Research, Criminal Law"
Cloud Engineer,"GCP, Networking, Terraform, Linux, AWS"
Software Engineer,"C++, OOP, Java, Linux, Git, Python"
Journalist,"Reporting, Interviewing, Research, Writing, Editing"
Police Officer,"Firearms Training, Traffic Control, Law Enforcement, Physical Fitness, Investigation"
Police Officer,"Firearms Training, Law Enforcement, Investigation, Physical Fitness, Traffic Control"
HR Manager,"Training, Employee Relations, Payroll, Recruitment"
Data Scientist,"Python, SQL, Scikit-learn, Matplotlib"
Accountant,"Excel, Tally, Financial Analysis, Bookkeeping, Taxation"
Mechanical Engineer,"Maintenance, Material Science, CAD, Thermodynamics, SolidWorks"
Cybersecurity Analyst,"Ethical Hacking, Networking, Vulnerability Assessment"
Business Analyst,"Excel, Requirement Gathering, SQL, UML, Data Modeling"
Accountant,"Bookkeeping, Taxation, Excel, Tally, Financial Analysis"
Mechanical Engineer,"Material Science, CAD, Thermodynamics, Maintenance, SolidWorks"
Web Developer,"MongoDB, JavaScript, React, CSS, Express"
Web Developer,"MongoDB, CSS, JavaScript, Node.js"
Civil Engineer,"Project Management, Structural Design, Site Supervision, AutoCAD, Concrete Technology"
AI Researcher,"NLP, Research, Python"
Machine Learning Engineer,"Python, PyTorch, TensorFlow, ML algorithms, Keras"
Architect,"AutoCAD, 3D Modeling, Building Codes, Design, Blueprints"
Plumber,"Pipe Fitting, Repair, Water Systems, Sanitation, Blueprint Reading"
Lawyer,"Criminal Law, Advocacy, Drafting, Legal Research, Court Procedures, Civil Law"
Machine Learning Engineer,"ML algorithms, Scikit-learn, PyTorch, Keras, Python, NLP"
Civil Engineer,"Site Supervision, AutoCAD, Concrete Technology"
Web Developer,"MongoDB, Express, Node.js, HTML, React"
UI/UX Designer,"Design Systems, Wireframing, Adobe XD, Prototyping, User Research, Figma"
Cybersecurity Analyst,"Networking, Vulnerability Assessment, Python, IDS/IPS, Ethical Hacking, Firewalls"
Professor,"Seminars, Grading, Teaching, Research, Academic Writing"
Electrician,"Troubleshooting, Safety Compliance, Circuit Design, Installation"
Business Analyst,"Excel, SQL, Power BI, Requirement Gathering, Data Modeling, UML"
Police Officer,"Traffic Control, Investigation, Firearms Training, Physical Fitness"
Data Scientist,"Scikit-learn, Matplotlib, NumPy"
AI Researcher,"Research, Mathematics, Python, NLP, Deep Learning, TensorFlow"
Machine Learning Engineer,"Keras, Scikit-learn, PyTorch, TensorFlow, ML algorithms"
HR Manager,"Payroll, Training, Recruitment, Compliance"
Civil Engineer,"Structural Design, AutoCAD, Site Supervision, Concrete Technology, Project Management"
Nurse,"IV Insertion, Medical Records, Emergency Response, Patient Monitoring"
Machine Learning Engineer,"PyTorch, Keras, NLP"
Journalist,"Interviewing, Research, Reporting, Editing"
Software Engineer,"Linux, C++, Java, Agile, Python"
Doctor,"Anatomy, Patient Care, Surgery, Prescribing, Physiology, Diagnosis"
Software Engineer,"Java, Linux, C++, Python, Agile"
Lawyer,"Drafting, Criminal Law, Advocacy"
Web Developer,"HTML, React, Node.js, JavaScript, MongoDB, Express"
Data Scientist,"Matplotlib, NumPy, Scikit-learn, SQL, Pandas, Jupyter"
UI/UX Designer,"Design Systems, Wireframing, User Research"
Doctor,"Physiology, Diagnosis, Surgery, Anatomy, Patient Care, Prescribing"
Journalist,"Reporting, Research, Editing, Writing, Interviewing"
Accountant,"Excel, Taxation, Tally, Financial Analysis"
Police Officer,"Physical Fitness, Investigation, Firearms Training, Traffic Control, Law Enforcement"
Journalist,"Research, Writing, Editing"
AI Researcher,"Deep Learning, NLP, Mathematics, TensorFlow, Research, Python"
Mobile App Developer,"Swift, Android Studio, Java, Kotlin, Flutter"
Professor,"Grading, Seminars, Academic Writing"
Teacher,"Student Assessment, Subject Knowledge, Classroom Management, Communication"
Cloud Engineer,"AWS, Linux, GCP, Networking"
Machine Learning Engineer,"PyTorch, ML algorithms, Scikit-learn, Python, TensorFlow, NLP"
Web Developer,"HTML, Node.js, Express, CSS"
Plumber,"Water Systems, Blueprint Reading, Pipe Fitting, Repair"
Sales Executive,"Lead Generation, CRM, Negotiation, Product Knowledge, Target Achievement"
Teacher,"Communication, Classroom Management, Student Assessment"
Machine Learning Engineer,"Python, NLP, Scikit-learn"
Journalist,"Reporting, Writing, Editing, Interviewing, Research"
UI/UX Designer,"User Research, Prototyping, Adobe XD"
Architect,"Design, 3D Modeling, Blueprints, Building Codes, AutoCAD"
Army Personnel,"Strategy, Combat Training, Discipline, First Aid"
Business Analyst,"Excel, SQL, Requirement Gathering"
Army Personnel,"Discipline, First Aid, Combat Training"
Army Personnel,"First Aid, Strategy, Discipline, Combat Training"
Professor,"Seminars, Research, Teaching, Grading, Academic Writing"
Sales Executive,"Lead Generation, CRM, Target Achievement, Negotiation, Product Knowledge"
Civil Engineer,"Concrete Technology, Structural Design, AutoCAD"
Army Personnel,"First Aid, Survival Skills, Strategy, Discipline"
DevOps Engineer,"Monitoring, Linux, Kubernetes, CI/CD, AWS"
Web Developer,"Express, Node.js, CSS, HTML, MongoDB"
Mobile App Developer,"Kotlin, Java, Android Studio, React Native"
Teacher,"Communication, Classroom Management, Lesson Planning, Subject Knowledge, Student Assessment"
Civil Engineer,"Project Management, Site Supervision, Concrete Technology"
Sales Executive,"Lead Generation, CRM, Target Achievement"
DevOps Engineer,"Docker, Linux, Monitoring, Terraform, AWS, CI/CD"
Mechanical Engineer,"SolidWorks, Thermodynamics, Material Science, Maintenance, CAD"
Army Personnel,"Strategy, Survival Skills, Combat Training"
Professor,"Grading, Academic Writing, Research, Seminars"
HR Manager,"Training, Compliance, Recruitment, Payroll, Employee Relations"
Electrician,"Installation, Wiring, Safety Compliance, Circuit Design"
HR Manager,"Payroll, Training, Recruitment, Employee Relations, Compliance"
Architect,"Design, Blueprints, AutoCAD, 3D Modeling"
Cloud Engineer,"Networking, AWS, Linux, Azure, Terraform, GCP"
DevOps Engineer,"Docker, Terraform, Monitoring, CI/CD"
Plumber,"Water Systems, Sanitation, Repair"
AI Researcher,"TensorFlow, Python, Research, NLP, Mathematics, Deep Learning"
Software Engineer,"OOP, Linux, Java, Agile, C++, Python"
Architect,"AutoCAD, 3D Modeling, Building Codes, Blueprints, Design"
Cybersecurity Analyst,"Vulnerability Assessment, Firewalls, Python, Ethical Hacking, IDS/IPS"
Cloud Engineer,"Cloud Architecture, GCP, Linux"
Web Developer,"JavaScript, Node.js, HTML, CSS, React"
Police Officer,"Law Enforcement, Investigation, Firearms Training"
Accountant,"Financial Analysis, Excel, Taxation, Bookkeeping"
Plumber,"Blueprint Reading, Repair, Water Systems, Sanitation"
HR Manager,"Compliance, Training, Payroll"
Machine Learning Engineer,"Python, Keras, NLP, PyTorch"
UI/UX Designer,"Adobe XD, Wireframing, Design Systems, User Research, Figma, Prototyping"
Army Personnel,"Discipline, Survival Skills, Combat Training, First Aid"
Accountant,"Excel, Bookkeeping, Tally, Taxation"
Product Manager,"Roadmaps, Wireframing, Analytics, Customer Research, Agile, Scrum"
Architect,"Building Codes, AutoCAD, 3D Modeling, Design, Blueprints"
Architect,"Blueprints, AutoCAD, Design, Building Codes"
Data Scientist,"Scikit-learn, Python, SQL, Jupyter, Pandas, Matplotlib"
Civil Engineer,"Concrete Technology, Site Supervision, Project Management"
UI/UX Designer,"Design Systems, Wireframing, Prototyping, Figma, Adobe XD, User Research"
Plumber,"Sanitation, Blueprint Reading, Pipe Fitting"
Civil Engineer,"Structural Design, Site Supervision, Project Management, Concrete Technology, AutoCAD"
Mobile App Developer,"Kotlin, Java, Android Studio, React Native"
Professor,"Teaching, Academic Writing, Grading, Research, Seminars"
Army Personnel,"Strategy, Combat Training, First Aid, Survival Skills, Discipline"
UI/UX Designer,"Prototyping, Figma, User Research, Design Systems, Adobe XD"
Mobile App Developer,"Kotlin, Swift, Flutter, React Native"
Plumber,"Blueprint Reading, Repair, Pipe Fitting"
DevOps Engineer,"Terraform, Docker, Kubernetes"
Journalist,"Reporting, Editing, Interviewing, Writing, Research"
Accountant,"Tally, Financial Analysis, Excel"
Software Engineer,"Agile, Git, Java, C++, Linux, Python"
Army Personnel,"Discipline, First Aid, Survival Skills, Strategy, Combat Training"
HR Manager,"Recruitment, Compliance, Training, Payroll, Employee Relations"
Software Engineer,"Git, Java, Agile, OOP"
Plumber,"Sanitation, Pipe Fitting, Repair"
Nurse,"IV Insertion, Emergency Response, Patient Monitoring"
Accountant,"Tally, Excel, Bookkeeping, Taxation"
Journalist,"Research, Writing, Editing, Interviewing, Reporting"
Nurse,"Patient Monitoring, Emergency Response, Medical Records"
Journalist,"Interviewing, Writing, Reporting"
Data Scientist,"NumPy, Pandas, SQL"
Journalist,"Writing, Reporting, Research"
